hora,Tension de Linea L1,Corriente L1,Potencia Activa L1,Potencia Reactiva L1,Factor de Potencia L1,Tension de Linea L2,Corriente L2,Potencia Activa L2,Potencia Reactiva L2,Factor de Potencia L2,Tension de Linea L3,Corriente L3,Potencia Activa L3,Potencia Reactiva L3,Factor de Potencia L3,Potencia Activa III,Potencia Inductiva III,Potencia Capacitiva III,Coseno Fi,Tension entre Lineas L1 y L2,Tension entre Lineas L2 y L3,Tension entre Lineas L3 y L1,Potencia Aparente III,Demanda Maxima,Corriente de las Tres Fases,Corriente de Neutro,Demanda Maxima A2,Demanda Maxima A3,Energia Activa,Energia Reactiva Inductiva,Energia Reactiva Capacitiva
Wed Sep 25 00:20:56 2019,7734.041379310347,4561.862068965517,31733.55172413793,4294953447.2413793,42949672.05793101,7699.779310344826,6068.482758620689,42108.10344827586,4294948537.551724,42949672.05551722,7625.089655172414,5443.0344827586205,32768.275862068964,4294942994.0,42949672.16689655,106668.13793103448,0.0,56912.620689655174,42949672.08206897,13392.744827586203,13219.034482758621,13287.972413793106,114200.89655172414,0.0,5358.275862068966,0.0,0.0,0.0,492139428.17241377,434169959.0,881460406.6896552
Wed Sep 25 00:21:55 2019,7736.871428571429,4523.142857142857,31489.928571428572,4294953669.535714,42949672.05928571,7700.957142857144,6082.5,42437.392857142855,4294948971.107143,42949672.052857116,7628.614285714286,5472.428571428572,32976.857142857145,4294942878.178571,42949672.16714285,106875.78571428571,0.0,56426.03571428572,42949672.07892858,13398.257142857143,13225.414285714285,13293.514285714287,115308.92857142857,0.0,5360.857142857143,0.0,0.0,0.0,492141208.0,434169959.0,881461344.6071428
Wed Sep 25 00:22:56 2019,7738.8,4551.931034482759,31812.41379310345,4294953803.6551723,42949672.051379286,7702.0965517241375,6119.379310344828,42676.862068965514,4294948804.7586207,42949672.0527586,7630.551724137931,5471.172413793103,32970.48275862069,4294942843.1034484,42949672.16586206,107421.96551724138,0.0,56409.06896551724,42949672.07896552,13398.537931034482,13225.903448275862,13296.827586206895,115320.86206896552,0.0,5378.9655172413795,0.0,0.0,0.0,492142985.7586207,434169959.0,881462282.7586207
Wed Sep 25 00:23:54 2019,7736.314285714283,4512.214285714285,31557.39285714286,4294954027.785714,42949672.05249997,7701.128571428571,6087.0,42536.642857142855,4294949212.392857,42949672.04749998,7627.585714285715,5455.071428571428,32966.28571428572,4294943133.785714,42949672.16428571,106996.28571428571,0.0,55489.17857142857,42949672.07035716,13396.92857142857,13224.771428571426,13293.9,115301.71428571429,0.0,5352.571428571428,0.0,0.0,0.0,492144769.8214286,434169959.0,881463212.2142857
Wed Sep 25 00:24:55 2019,7731.765517241379,4503.310344827586,31569.068965517243,4294954320.862069,42949672.04965515,7699.986206896552,6084.620689655172,42591.1724137931,4294949414.6896553,42949672.04551722,7625.13103448276,5445.724137931034,32984.06896551724,4294943343.448276,42949672.165517226,107127.13793103448,0.0,54781.620689655174,42949672.07034484,13391.337931034483,13220.4,13284.620689655174,115252.31034482758,0.0,5344.689655172414,0.0,0.0,0.0,492146552.55172414,434169959.0,881464129.9655173
Wed Sep 25 00:25:54 2019,7736.4857142857145,4490.785714285715,31422.535714285714,4294954127.178571,42949672.05178569,7703.6571428571415,6120.642857142857,43047.78571428572,4294949727.0,42949672.043928556,7628.057142857143,5538.857142857143,33519.82142857143,4294942803.785714,42949672.164285704,108007.85714285714,0.0,55137.857142857145,42949672.06964288,13399.971428571433,13225.928571428569,13293.128571428571,115310.39285714286,0.0,5381.642857142857,0.0,0.0,0.0,492148342.0714286,434169959.0,881465044.1785715
Wed Sep 25 00:26:55 2019,7738.5931034482755,4503.931034482759,31664.96551724138,4294954495.724138,42949672.04724136,7705.489655172414,6081.517241379311,42574.03448275862,4294949417.9310346,42949672.047931015,7628.979310344829,5425.0344827586205,32922.41379310345,4294943559.275862,42949672.16241378,107192.27586206897,0.0,54411.58620689655,42949672.068620704,13403.255172413796,13228.137931034482,13294.8,115333.3448275862,0.0,5335.793103448276,0.0,0.0,0.0,492150133.7241379,434169959.0,881465953.0344827
Wed Sep 25 00:27:56 2019,7739.337931034483,4519.6551724137935,31716.379310344826,4294954341.551724,42949672.04758619,7703.503448275862,6004.9655172413795,41594.03448275862,4294948660.8965516,42949672.057586186,7629.186206896549,5285.379310344828,31901.44827586207,4294943960.034483,42949672.16275861,105283.75862068965,0.0,54939.379310344826,42949672.07931035,13401.84827586207,13228.01379310345,13296.827586206897,113472.4827586207,0.0,5271.6551724137935,0.0,0.0,0.0,492151927.82758623,434169959.0,881466881.0689656
Wed Sep 25 00:28:55 2019,7743.9,4573.714285714285,32338.25,4294954634.642857,42949672.042142846,7703.871428571428,6057.642857142857,41990.25,4294948527.642857,42949672.05642855,7632.814285714284,5280.428571428572,31944.285714285714,4294944123.678571,42949672.163214274,106262.17857142857,0.0,54612.57142857143,42949672.07357144,13405.071428571431,13228.671428571428,13303.371428571432,115084.0,0.0,5304.857142857143,0.0,0.0,0.0,492153685.75,434169959.0,881467793.5714285
Wed Sep 25 00:29:56 2019,7739.8344827586225,4594.758620689655,32624.344827586207,4294954965.0689654,42949672.036896534,7699.406896551724,6056.068965517241,42039.55172413793,4294948784.172414,42949672.055172384,7629.310344827588,5251.6551724137935,32031.689655172413,4294944600.827586,42949672.15827586,106709.27586206897,0.0,53476.24137931035,42949672.07034484,13398.455172413793,13222.96551724138,13298.689655172413,115312.13793103448,0.0,5302.689655172414,0.0,0.0,0.0,492155459.20689654,434169959.0,881468688.2758621
Wed Sep 25 00:30:55 2019,7741.5428571428565,4612.714285714285,32827.892857142855,4294955053.357143,42949672.0367857,7704.9,6105.0,42316.75,4294948321.821429,42949672.05785712,7629.0428571428565,5255.142857142857,31915.85714285714,4294944386.392857,42949672.16178571,107060.57142857143,0.0,54133.46428571428,42949672.07035716,13405.5,13225.628571428573,13294.842857142861,114503.35714285714,0.0,5326.285714285715,0.0,0.0,0.0,492157238.64285713,434169959.0,881469585.7857143
