unixtime,potencia_III,v_l1_l2,v_l2_l3,v_l3_l1
Wed Sep 25 04:11:55 2019,106506.92857142857,13450.414285714285,13303.028571428573,13355.57142857143
Wed Sep 25 04:12:56 2019,107668.72413793103,13449.475862068964,13307.83448275862,13356.000000000002
Wed Sep 25 04:13:55 2019,108426.67857142857,13446.428571428569,13303.971428571425,13353.428571428574
Wed Sep 25 04:14:55 2019,106938.6551724138,13439.048275862067,13297.448275862065,13347.724137931036
Wed Sep 25 04:15:54 2019,106985.82142857143,13436.44285714286,13292.785714285714,13341.428571428574
Wed Sep 25 04:16:55 2019,110296.4827586207,13445.213793103449,13298.193103448275,13346.89655172414
Wed Sep 25 04:17:56 2019,109806.4827586207,13443.765517241378,13293.724137931036,13343.33793103448
Wed Sep 25 04:18:55 2019,108039.78571428571,13447.885714285716,13300.114285714288,13346.314285714285
Wed Sep 25 04:19:56 2019,107675.4827586207,13447.199999999997,13300.26206896552,13345.61379310345
Wed Sep 25 04:20:55 2019,105765.17857142857,13448.314285714287,13302.814285714285,13349.999999999996
Wed Sep 25 04:21:56 2019,105866.5172413793,13452.206896551728,13306.386206896552,13349.337931034479
Wed Sep 25 04:22:54 2019,105956.71428571429,13465.071428571433,13315.114285714282,13361.871428571432
Wed Sep 25 04:23:55 2019,107350.10344827586,13467.268965517243,13318.427586206899,13363.572413793101
Wed Sep 25 04:24:56 2019,107870.75862068965,13462.096551724138,13320.16551724138,13368.331034482759
Wed Sep 25 04:25:55 2019,106464.35714285714,13462.92857142857,13322.785714285714,13372.200000000003
Wed Sep 25 04:26:56 2019,107723.41379310345,13465.903448275862,13325.586206896549,13372.262068965514
Wed Sep 25 04:27:55 2019,107826.85714285714,13466.142857142855,13322.871428571429,13368.51428571429
Wed Sep 25 04:28:56 2019,108066.20689655172,13475.172413793103,13328.275862068967,13378.882758620686
Wed Sep 25 04:29:55 2019,108721.03571428571,13477.757142857141,13330.114285714286,13375.371428571425
Wed Sep 25 04:30:55 2019,107593.20689655172,13464.248275862074,13323.475862068966,13371.9724137931
Wed Sep 25 04:31:54 2019,107794.89285714286,13468.157142857139,13325.871428571429,13376.05714285714
Wed Sep 25 04:32:55 2019,107106.6551724138,13463.503448275866,13321.324137931033,13370.813793103449
Wed Sep 25 04:33:56 2019,107178.58620689655,13458.082758620689,13315.696551724137,13365.351724137932
Wed Sep 25 04:34:55 2019,107149.03571428571,13462.92857142857,13322.185714285713,13368.0
Wed Sep 25 04:35:56 2019,107569.24137931035,13462.593103448273,13322.979310344828,13368.331034482755
Wed Sep 25 04:36:55 2019,109146.89285714286,13457.999999999998,13322.142857142859,13365.814285714287
Wed Sep 25 04:37:56 2019,108186.0,13456.17931034483,13317.682758620691,13356.537931034482
Wed Sep 25 04:38:55 2019,108139.32142857143,13458.471428571427,13317.128571428568,13358.828571428574
